Conf. Session	Date	Time CET (Local Time)	Poster Session	Track	Board 	Paper ID	Paper Title	First Authors	Status	Authors	1st Author	2nd Author	3rd Author	4th Author	5th Author	6th Author	7th Author	8th Author	Change from 	Change to 	Complete	GT Spawn point	Authors																
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	14	374	STable: Table Generation Framework for Encoder-Decoder Models	Michał Pietruszka	Confirmed In person	Michał Pietruszka, Michał Turski, Łukasz Borchmann, Tomasz Dwojak, Gabriela Nowakowska, Karolina Szyndler, Dawid Jurkiewicz, Łukasz Garncarek	Michał Pietruszka	Michał Turski	Łukasz Borchmann	Tomasz Dwojak	Gabriela Nowakowska	Karolina Szyndler	Dawid Jurkiewicz	Łukasz Garncarek					Michał Pietruszka	Michał Turski	Łukasz Borchmann	Tomasz Dwojak	Gabriela Nowakowska	Karolina Szyndler	Dawid Jurkiewicz	Łukasz Garncarek									
Session 3	2024-03-18	14-15:30	In-Person A	Dialogue and Interactive Systems	4	177	Style Vectors for Steering Generative Large Language Models	Kai Konen	Confirmed In person	Kai Konen, Sophie Jentzsch, Diaoulé Diallo, Peer Schütt, Oliver Bensch, Roxanne El Baff, Dominik Opitz, Tobias Hecking	Kai Konen	Sophie Jentzsch	Diaoulé Diallo	Peer Schütt	Oliver Bensch	Roxanne El Baff	Dominik Opitz	Tobias Hecking					Kai Konen	Sophie Jentzsch	Diaoulé Diallo	Peer Schütt	Oliver Bensch	Roxanne El Baff	Dominik Opitz	Tobias Hecking									
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	22	164	Unsupervised Multilingual Dense Retrieval via Generative Pseudo Labeling	Chao-Wei Huang	Confirmed In person	Chao-Wei Huang, Chen-An Li, Tsu-Yuan Hsu, Chen-Yu Hsu, Yun-Nung Chen	Chao-Wei Huang	Chen-An Li	Tsu-Yuan Hsu	Chen-Yu Hsu	Yun-Nung Chen								Chao-Wei Huang	Chen-An Li	Tsu-Yuan Hsu	Chen-Yu Hsu	Yun-Nung Chen												
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	23	441	When do Generative Query and Document Expansions Fail? A Comprehensive Study Across Methods, Retrievers, and Datasets	Orion Weller	Confirmed In person	Orion Weller, Kyle Lo, David Wadden, Dawn Lawrie, Benjamin Van Durme, Arman Cohan, Luca Soldaini	Orion Weller	Kyle Lo	David Wadden	Dawn Lawrie	Benjamin Van Durme	Arman Cohan	Luca Soldaini						Orion Weller	Kyle Lo	David Wadden	Dawn Lawrie	Benjamin Van Durme	Arman Cohan	Luca Soldaini										
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	24	254	Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models	Sachin Pawar	Confirmed In person	Sachin Pawar, Nitin Ramrakhiyani, Anubhav sinha, Manoj Apte, Girish Keshav Palshikar	Sachin Pawar	Nitin Ramrakhiyani	Anubhav sinha	Manoj Apte	Girish Keshav Palshikar								Sachin Pawar	Nitin Ramrakhiyani	Anubhav sinha	Manoj Apte	Girish Keshav Palshikar												
Session 3	2024-03-18	14-15:30	In-Person A		D-1	DEMO 9	DepressMind: A Depression Surveillance System for Social Media Analysis	Roque Fernández-Iglesias	In person	Roque Fernández-Iglesias, Marcos Fernandez-Pichel, Mario Aragon and David E. Losada	Roque Fernández-Iglesias	Marcos Fernandez-Pichel	Mario Aragon and David E. Losada										Roque Fernández-Iglesias	Marcos Fernandez-Pichel	Mario Aragon and David E. Losada														
Session 3	2024-03-18	14-15:30	In-Person A		D-2	DEMO 15	Multi-party Multimodal Conversations Between Patients, Their Companions, and a Social Robot in a Hospital Memory Clinic	Angus Addlesee	In person	Angus Addlesee, Neeraj Cherakara, Nivan Nelson, Daniel Hernandez Garcia, Nancie Gunson, Weronika Sieińska, Christian Dondrup and Oliver Lemon	Angus Addlesee	Neeraj Cherakara	Nivan Nelson	Daniel Hernandez Garcia	Nancie Gunson	Weronika Sieińska	Christian Dondrup and Oliver Lemon						Angus Addlesee	Neeraj Cherakara	Nivan Nelson	Daniel Hernandez Garcia	Nancie Gunson	Weronika Sieińska	Christian Dondrup and Oliver Lemon										
Session 3	2024-03-18	14-15:30	In-Person A		D-3	DEMO 48	TL;DR Progress: Multi-faceted Literature Exploration in Text Summarization	Shahbaz Syed	In person	Shahbaz Syed, Khalid Al Khatib and Martin Potthast	Shahbaz Syed	Khalid Al Khatib and Martin Potthast											Shahbaz Syed	Khalid Al Khatib and Martin Potthast															
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	8	344	“According to . . . ”: Prompting Language Models Improves Quoting from Pre-Training Data	Orion Weller	Confirmed in person	Orion Weller, Marc Marone, Nathaniel Weir, Dawn Lawrie, Daniel Khashabi, Benjamin Van Durme	Orion Weller	Marc Marone	Nathaniel Weir	Dawn Lawrie	Daniel Khashabi	Benjamin Van Durme							Orion Weller	Marc Marone	Nathaniel Weir	Dawn Lawrie	Daniel Khashabi	Benjamin Van Durme											
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	9	179	A Classification-Guided Approach for Adversarial Attacks against Neural Machine Translation	Sahar Sadrizadeh	Confirmed in person	Sahar Sadrizadeh, Ljiljana Dolamic, Pascal Frossard	Sahar Sadrizadeh	Ljiljana Dolamic	Pascal Frossard										Sahar Sadrizadeh	Ljiljana Dolamic	Pascal Frossard														
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	10	93	A Comprehensive Evaluation of Inductive Reasoning Capabilities and Problem Solving in Large Language Models	CHEN BOWEN	Confirmed in person	CHEN BOWEN, Rune Sætre, Yusuke Miyao	CHEN BOWEN	Rune Sætre	Yusuke Miyao										CHEN BOWEN	Rune Sætre	Yusuke Miyao														
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	29	369	A Dataset for Metaphor Detection in Early Medieval Hebrew Poetry	Michael Toker	Confirmed in person	Michael Toker, Oren Mishali, Ophir Münz-Manor, Benny Kimelfeld, Yonatan Belinkov	Michael Toker	Oren Mishali	Ophir Münz-Manor	Benny Kimelfeld	Yonatan Belinkov								Michael Toker	Oren Mishali	Ophir Münz-Manor	Benny Kimelfeld	Yonatan Belinkov												
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	1	260	Aligning Large and Small Language Models via Chain-of-Thought Reasoning	Leonardo Ranaldi	Confirmed in person	Leonardo Ranaldi, Andre Freitas	Leonardo Ranaldi	Andre Freitas											Leonardo Ranaldi	Andre Freitas															
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	11	4	Anisotropy Is Inherent to Self-Attention in Transformers	Nathan Godey	Confirmed in person	Nathan Godey, Éric Villemonte de la Clergerie, Benoît Sagot	Nathan Godey	Éric Villemonte de la Clergerie	Benoît Sagot										Nathan Godey	Éric Villemonte de la Clergerie	Benoît Sagot														
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	12	311	Approximate Attributions for Off-the-Shelf Siamese Transformers	Lucas Moeller	Confirmed in person	Lucas Moeller, Dmitry Nikolaev, Sebastian Padó	Lucas Moeller	Dmitry Nikolaev	Sebastian Padó										Lucas Moeller	Dmitry Nikolaev	Sebastian Padó														
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	30	61	Barriers to Effective Evaluation of Simultaneous Interpretation	Shira Wein	Confirmed in person	Shira Wein, Te I, Colin Cherry, Juraj Juraska, Dirk Padfield, Wolfgang Macherey	Shira Wein	Te I	Colin Cherry	Juraj Juraska	Dirk Padfield	Wolfgang Macherey							Shira Wein	Te I	Colin Cherry	Juraj Juraska	Dirk Padfield	Wolfgang Macherey											
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	13	442	Can Large Language Models Understand Context?	Yilun Zhu	Confirmed in person	Yilun Zhu, Joel Ruben Antony Moniz, Shruti Bhargava, Jiarui Lu, Dhivya Piraviperumal, Site Li, Yuan Zhang, Hong Yu, Bo-Hsiang Tseng	Yilun Zhu	Joel Ruben Antony Moniz	Shruti Bhargava	Jiarui Lu	Dhivya Piraviperumal	Site Li	Yuan Zhang	Hong Yu					Yilun Zhu	Joel Ruben Antony Moniz	Shruti Bhargava	Jiarui Lu	Dhivya Piraviperumal	Site Li	Yuan Zhang	Hong Yu	Bo-Hsiang Tseng								
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	31	125	Centering the Speech Community	Steven Bird, Dean Yibarbuk	Confirmed in person	Steven Bird, Dean Yibarbuk	Frank Palma Gomez	Alla Rozovskaya											Frank Palma Gomez	Alla Rozovskaya															
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	2	274	Clustering-based Sampling for Few-Shot Cross-Domain Keyphrase Extraction	Prakamya Mishra	Confirmed in person	Prakamya Mishra, Lincy Pattanaik, Arunima Sundar, Nishant Yadav, Mayank Kulkarni	Prakamya Mishra	Lincy Pattanaik	Arunima Sundar	Nishant Yadav	Mayank Kulkarni								Prakamya Mishra	Lincy Pattanaik	Arunima Sundar	Nishant Yadav	Mayank Kulkarni												
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	14	378	CMA-R: Causal Mediation Analysis for Explaining Rumour Detection	LIN TIAN	Confirmed in person	LIN TIAN, Xiuzhen Zhang, Jey Han Lau	LIN TIAN	Xiuzhen Zhang	Jey Han Lau										LIN TIAN	Xiuzhen Zhang	Jey Han Lau														
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	32	116	Comparing Template-based and Template-free Language Model Probing	Sagi Shaier	Confirmed in person	Sagi Shaier, Kevin Bennett, Lawrence Hunter, Katharina von der Wense	Sagi Shaier	Kevin Bennett	Lawrence Hunter	Katharina von der Wense									Sagi Shaier	Kevin Bennett	Lawrence Hunter	Katharina von der Wense													
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	15	461	Dive into the Chasm: Probing the Gap between In- and Cross-Topic Generalization	Andreas Waldis	Confirmed in person	Andreas Waldis, Yufang Hou, Iryna Gurevych	Andreas Waldis	Yufang Hou	Iryna Gurevych										Andreas Waldis	Yufang Hou	Iryna Gurevych														
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	16	215	Do Language Models Know When They're Hallucinating References?	Ayush Agrawal	Confirmed in person	Ayush Agrawal, Mirac Suzgun, Lester Mackey, Adam Tauman Kalai	Ayush Agrawal	Mirac Suzgun	Lester Mackey	Adam Tauman Kalai									Ayush Agrawal	Mirac Suzgun	Lester Mackey	Adam Tauman Kalai													
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	33	205	Do-Not-Answer: Evaluating Safeguards in LLMs	Yuxia Wang	Confirmed in person	Yuxia Wang, Haonan Li, Xudong Han, Preslav Nakov, Timothy Baldwin	Yuxia Wang	Haonan Li	Xudong Han	Preslav Nakov	Timothy Baldwin								Yuxia Wang	Haonan Li	Xudong Han	Preslav Nakov	Timothy Baldwin												
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	17	474	Establishing degrees of closeness between audio recordings along different dimensions using large-scale cross-lingual models	Maxime Fily	Confirmed in person	Maxime Fily, Guillaume Wisniewski, Severine Guillaume, Gilles Adda, Alexis Michaud	Maxime Fily	Guillaume Wisniewski	Severine Guillaume	Gilles Adda	Alexis Michaud								Maxime Fily	Guillaume Wisniewski	Severine Guillaume	Gilles Adda	Alexis Michaud												
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	18	327	Explaining Speech Classification Models via Word-Level Audio Segments and Paralinguistic Features	Eliana Pastor	Confirmed in person	Eliana Pastor, Alkis Koudounas, Giuseppe Attanasio, Dirk Hovy, Elena Baralis	Eliana Pastor	Alkis Koudounas	Giuseppe Attanasio	Dirk Hovy	Elena Baralis								Eliana Pastor	Alkis Koudounas	Giuseppe Attanasio	Dirk Hovy	Elena Baralis												
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	19	288	Goodhart’s Law Applies to NLP’s Explanation Benchmarks	Jennifer Hsia	Confirmed in person	Jennifer Hsia, Danish Pruthi, Aarti Singh, Zachary Chase Lipton	Jennifer Hsia	Danish Pruthi	Aarti Singh	Zachary Chase Lipton									Jennifer Hsia	Danish Pruthi	Aarti Singh	Zachary Chase Lipton													
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	20	185	Interpreting Predictive Probabilities: Model Confidence or Human Label Variation?	Joris Baan	Confirmed Virtual	Joris Baan, Raquel Fernández, Barbara Plank, Wilker Aziz	Joris Baan	Raquel Fernández	Barbara Plank	Wilker Aziz					Session 11 - 03/20 - 14:00 - Virtual GT B	Conf Session 4- 03/18 - 16:00 - Poster Session B	DONE on UL and in EACL 2024 Program Public		Joris Baan	Raquel Fernández	Barbara Plank	Wilker Aziz													
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	21	166	Investigating grammatical abstraction in language models using few-shot learning of novel noun gender	Priyanka Sukumaran	Confirmed in person	Priyanka Sukumaran, Conor Houghton, Nina Kazanina	Priyanka Sukumaran	Conor Houghton	Nina Kazanina										Priyanka Sukumaran	Conor Houghton	Nina Kazanina														
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	34	14	Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs	Simone Balloccu	Confirmed in person	Simone Balloccu, Patrícia Schmidtová, Mateusz Lango, Ondrej Dusek	Simone Balloccu	Patrícia Schmidtová	Mateusz Lango	Ondrej Dusek									Simone Balloccu	Patrícia Schmidtová	Mateusz Lango	Ondrej Dusek													
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	22	88	Over-Reasoning and Redundant Calculation of Large Language Models	Cheng-Han Chiang	Confirmed in person	Cheng-Han Chiang, Hung-yi Lee	Cheng-Han Chiang	Hung-yi Lee											Cheng-Han Chiang	Hung-yi Lee															
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	3	334	Predicting Machine Translation Performance on Low-Resource Languages: The Role of Domain Similarity	Eric Khiu	Confirmed in person	Eric Khiu, Hasti Toossi, Jinyu Liu, Jiaxu Li, David Anugraha, Juan Armando Parra Flores, Leandro Arcos Roman, A. Seza Doğruöz, En-Shiun Annie Lee	Eric Khiu	Hasti Toossi	Jinyu Liu	Jiaxu Li	David Anugraha	Juan Armando Parra Flores	Leandro Arcos Roman	A. Seza Doğruöz					Eric Khiu	Hasti Toossi	Jinyu Liu	Jiaxu Li	David Anugraha	Juan Armando Parra Flores	Leandro Arcos Roman	A. Seza Doğruöz	En-Shiun Annie Lee								
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	35	267	Rainbow - A Benchmark for Systematic Testing of How Sensitive Visio-Linguistic Models are to Color Naming	Marie Bexte	Confirmed in person	Marie Bexte, Andrea Horbach, Torsten Zesch	Marie Bexte	Andrea Horbach	Torsten Zesch										Marie Bexte	Andrea Horbach	Torsten Zesch														
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	23	251	Relabeling Minimal Training Subset to Flip a Prediction	Jinghan Yang	Confirmed in person	Jinghan Yang, Linjie Xu, Lequan Yu	Jinghan Yang	Linjie Xu	Lequan Yu																										
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	4	454	Sorted LLaMA: Unlocking the Potential of Intermediate Layers of Large Language Models for Dynamic Inference	Parsa Kavehzadeh	Confirmed in person	#N/A	Parsa Kavehzadeh	Mojtaba Valipour	Marzieh S. Tahaei	Ali Ghodsi	Boxing Chen	Mehdi Rezagholizadeh							Parsa Kavehzadeh	Mojtaba Valipour	Marzieh S. Tahaei	Ali Ghodsi	Boxing Chen	Mehdi Rezagholizadeh											
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	24	348	SPUQ: Perturbation-Based Uncertainty Quantification for Large Language Models	Xiang Gao	Confirmed in person	Xiang Gao, Jiaxin Zhang, Lalla Mouatadid, Kamalika Das	Xiang Gao	Jiaxin Zhang	Lalla Mouatadid	Kamalika Das									Xiang Gao	Jiaxin Zhang	Lalla Mouatadid	Kamalika Das													
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	25	448	Testing the Depth of ChatGPT's Comprehension via Cross-Modal Tasks Based on ASCII-Art: GPT3.5's Abilities in Regard to Recognizing and Generating ASCII-Art Are Not Totally Lacking	David Bayani	Confirmed in person	David Bayani	David Bayani												David Bayani																
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	26	475	The Queen of England is not England’s Queen: On the Lack of Factual Coherency in PLMs	Paul Youssef	Confirmed in person	Paul Youssef, Jörg Schlötterer, Christin Seifert	Paul Youssef	Jörg Schlötterer	Christin Seifert										Paul Youssef	Jörg Schlötterer	Christin Seifert														
